Country/Territory,Code,Region
Namibia,NAM,Sub-Saharan Africa
Nepal,NPL,South Asia
Netherlands,NLD,Western Europe
New Zealand,NZL,North America and ANZ
Nicaragua,NIC,Latin America and Caribbean
Niger,NER,Sub-Saharan Africa
Nigeria,NGA,Sub-Saharan Africa
Norway,NOR,Western Europe
Oman,OMN,Middle East and North Africa
Pakistan,PAK,South Asia
Panama,PAN,Latin America and Caribbean
Paraguay,PRY,Latin America and Caribbean
Peru,PER,Latin America and Caribbean
Philippines,PHL,Southeast Asia
Poland,POL,Central and Eastern Europe
Portugal,PRT,Western Europe
Qatar,QAT,Middle East and North Africa
Romania,ROU,Central and Eastern Europe
Russia,RUS,Commonwealth of Independent States
Rwanda,RWA,Sub-Saharan Africa
Saudi Arabia,SAU,Middle East and North Africa
Senegal,SEN,Sub-Saharan Africa
Serbia,SRB,Central and Eastern Europe
Sierra Leone,SLE,Sub-Saharan Africa
Singapore,SGP,Southeast Asia
Slovakia,SVK,Central and Eastern Europe
Slovenia,SVN,Central and Eastern Europe
South Africa,ZAF,Sub-Saharan Africa
South Korea,KOR,East Asia
South Sudan,SSD,Sub-Saharan Africa
Spain,ESP,Western Europe
Sri Lanka,LKA,South Asia
Sudan,SDN,Middle East and North Africa
Swaziland,SWZ,Sub-Saharan Africa
Sweden,SWE,Western Europe
Switzerland,CHE,Western Europe
Syria,SYR,Middle East and North Africa
Tajikistan,TJK,Commonwealth of Independent States
Tanzania,TZA,Sub-Saharan Africa
Thailand,THA,Southeast Asia
Togo,TGO,Sub-Saharan Africa
Trinidad and Tobago,TTO,Latin America and Caribbean
Tunisia,TUN,Middle East and North Africa
Turkey,TUR,Middle East and North Africa
Turkmenistan,TKM,Commonwealth of Independent States
Uganda,UGA,Sub-Saharan Africa
Ukraine,UKR,Commonwealth of Independent States
United Arab Emirates,ARE,Middle East and North Africa
United Kingdom,GBR,Western Europe
United States,USA,North America and ANZ
Uruguay,URY,Latin America and Caribbean
Uzbekistan,UZB,Commonwealth of Independent States
Venezuela,VEN,Latin America and Caribbean
Vietnam,VNM,Southeast Asia
Yemen,YEM,Middle East and North Africa
Zambia,ZMB,Sub-Saharan Africa
Zimbabwe,ZWE,Sub-Saharan Africa
